"","name","betweenness","Category"
"1","2-LTR circle formation",0,"Pathway"
"2","3' -UTR-mediated translational regulation",0,"Pathway"
"3","A tetrasaccharide linker sequence is required for GAG synthesis",0,"Pathway"
"4","A third proteolytic cleavage releases NICD",0,"Pathway"
"5","a6b1 and a6b4 Integrin signaling",0,"Pathway"
"6","Abacavir transmembrane transport",0,"Pathway"
"7","Abacavir transport and metabolism",0,"Pathway"
"8","ABC-family proteins mediated transport",0,"Pathway"
"9","ABCB1",6.92424242424242,"Gene"
"10","ABCC5",3.46156843156843,"Gene"
"11","ABCF3",0,"Gene"
"12","ABHD6",0,"Gene"
"13","Abnormal metabolism in phenylketonuria",0,"Pathway"
"14","ACAT2",0,"Gene"
"15","Acetylcholine Binding And Downstream Events",0,"Pathway"
"16","Acetylcholine Neurotransmitter Release Cycle",0,"Pathway"
"17","Acetylcholine regulates insulin secretion",0,"Pathway"
"18","ACOT9",0,"Gene"
"19","Activated NOTCH1 Transmits Signal to the Nucleus",0,"Pathway"
"20","Activated point mutants of FGFR2",0,"Pathway"
"21","activated TAK1 mediates p38 MAPK activation",0,"Pathway"
"22","Activated TLR4 signalling",0,"Pathway"
"23","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0,"Pathway"
"24","Activation of ATR in response to replication stress",0,"Pathway"
"25","Activation of BAD and translocation to mitochondria",0,"Pathway"
"26","Activation of BH3-only proteins",0,"Pathway"
"27","Activation of caspases through apoptosome-mediated cleavage",0,"Pathway"
"28","Activation of GABAB receptors",0,"Pathway"
"29","Activation of gene expression by SREBF (SREBP)",0,"Pathway"
"30","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",0,"Pathway"
"31","Activation of Matrix Metalloproteinases",0,"Pathway"
"32","Activation of NF-kappaB in B cells",0,"Pathway"
"33","Activation of PKB",0,"Pathway"
"34","Activation of PPARGC1A (PGC-1alpha) by phosphorylation",0,"Pathway"
"35","Activation of Rac",0,"Pathway"
"36","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0,"Pathway"
"37","Activation of the pre-replicative complex",0,"Pathway"
"38","Activation, translocation and oligomerization of BAX",0,"Pathway"
"39","Acyl chain remodeling of DAG and TAG",0,"Pathway"
"40","ADAM10",8.00842575514302,"Gene"
"41","Adaptive Immune System",0,"Pathway"
"42","Adenylate cyclase inhibitory pathway",0,"Pathway"
"43","ADGRE5",1.6494623655914,"Gene"
"44","Adherens junctions interactions",0,"Pathway"
"45","ADI1",3.5625,"Gene"
"46","Adipogenesis",0,"Pathway"
"47","ADM",4.49285714285714,"Gene"
"48","ADO",0,"Gene"
"49","ADP signalling through P2Y purinoceptor 12",0,"Pathway"
"50","ADRA1A",6.89563492063492,"Gene"
"51","ADRA1B",6.89563492063492,"Gene"
"52","ADRA1D",5.39563492063492,"Gene"
"53","ADRA2A",4.53376623376623,"Gene"
"54","ADRA2B",2.94285714285714,"Gene"
"55","ADRA2C",4.53376623376623,"Gene"
"56","Adrenaline signalling through Alpha-2 adrenergic receptor",0,"Pathway"
"57","Adrenaline,noradrenaline inhibits insulin secretion",0,"Pathway"
"58","Adrenoceptors",0,"Pathway"
"59","ADSL",1.88833333333333,"Gene"
"60","Advanced glycosylation endproduct receptor signaling",0,"Pathway"
"61","AFF1",0,"Gene"
"62","Aflatoxin activation and detoxification",0,"Pathway"
"63","Aflatoxin B1 metabolism",0,"Pathway"
"64","AGE/RAGE pathway",0,"Pathway"
"65","AKR1B10",0.9520264681555,"Gene"
"66","AKR7A2",2.68,"Gene"
"67","AKT phosphorylates targets in the nucleus",0,"Pathway"
"68","ALB",13.982905982906,"Gene"
"69","ALDOC",5.63653235653236,"Gene"
"70","Allograft Rejection",0,"Pathway"
"71","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",0,"Pathway"
"72","Alpha-synuclein signaling",0,"Pathway"
"73","Alpha 6 Beta 4 signaling pathway",0,"Pathway"
"74","Alpha4 beta1 integrin signaling events",0,"Pathway"
"75","Alpha6 beta4 integrin-ligand interactions",0,"Pathway"
"76","AlphaE beta7 integrin cell surface interactions",0,"Pathway"
"77","Alternative NF-kappaB pathway",0,"Pathway"
"78","Alzheimers Disease",0,"Pathway"
"79","amb2 Integrin signaling",0,"Pathway"
"80","AMER1 mutants destabilize the destruction complex",0,"Pathway"
"81","AMFR",0.2,"Gene"
"82","Amine compound SLC transporters",0,"Pathway"
"83","Amine ligand-binding receptors",0,"Pathway"
"84","Amino acid and derivative metabolism",0,"Pathway"
"85","Amino acid and oligopeptide SLC transporters",0,"Pathway"
"86","Amino acid synthesis and interconversion (transamination)",0,"Pathway"
"87","Amino acid transport across the plasma membrane",0,"Pathway"
"88","AMPK inhibits chREBP transcriptional activation activity",0,"Pathway"
"89","AMPK Signaling",0,"Pathway"
"90","Amyloids",0,"Pathway"
"91","Amyotrophic lateral sclerosis (ALS)",0,"Pathway"
"92","Anchoring fibril formation",0,"Pathway"
"93","Androgen receptor signaling pathway",0,"Pathway"
"94","Angiopoietin receptor Tie2-mediated signaling",0,"Pathway"
"95","ANKRD17",0,"Gene"
"96","ANKS1A",0,"Gene"
"97","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0,"Pathway"
"98","Antigen Presentation: Folding, assembly and peptide loading of class I MHC",0,"Pathway"
"99","Antigen processing-Cross presentation",0,"Pathway"
"100","Antigen processing: Ubiquitination & Proteasome degradation",0,"Pathway"
"101","Antiviral mechanism by IFN-stimulated genes",0,"Pathway"
"102","ANXA4",0.5,"Gene"
"103","AP-1 transcription factor network",0,"Pathway"
"104","AP2S1",11.592747705594,"Gene"
"105","APAF1",4.9988455988456,"Gene"
"106","APC-Cdc20 mediated degradation of Nek2A",0,"Pathway"
"107","APC/C-mediated degradation of cell cycle proteins",0,"Pathway"
"108","APC/C:Cdc20 mediated degradation of Cyclin B",0,"Pathway"
"109","APC/C:Cdc20 mediated degradation of mitotic proteins",0,"Pathway"
"110","APC/C:Cdc20 mediated degradation of Securin",0,"Pathway"
"111","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0,"Pathway"
"112","APEX1",9.62511520737327,"Gene"
"113","APLP2",0,"Gene"
"114","APOBEC3G mediated resistance to HIV-1 infection",0,"Pathway"
"115","Apoptosis",0,"Pathway"
"116","Apoptosis",0,"Pathway"
"117","Apoptosis",0,"Pathway"
"118","Apoptosis",0,"Pathway"
"119","Apoptosis-related network due to altered Notch3 in ovarian cancer",0,"Pathway"
"120","Apoptosis Modulation and Signaling",0,"Pathway"
"121","Apoptosis Modulation by HSP70",0,"Pathway"
"122","Apoptotic cleavage of cell adhesion proteins",0,"Pathway"
"123","Apoptotic cleavage of cellular proteins",0,"Pathway"
"124","Apoptotic execution phase",0,"Pathway"
"125","Apoptotic factor-mediated response",0,"Pathway"
"126","APP",13.5679579926074,"Gene"
"127","APPL1",1.8984126984127,"Gene"
"128","APRT",0.888333333333333,"Gene"
"129","Aquaporin-mediated transport",0,"Pathway"
"130","Arachidonate Epoxygenase / Epoxide Hydrolase",0,"Pathway"
"131","Arachidonic acid metabolism",0,"Pathway"
"132","Arf6 downstream pathway",0,"Pathway"
"133","Arf6 signaling events",0,"Pathway"
"134","Arf6 trafficking events",0,"Pathway"
"135","ARID4A",0.625,"Gene"
"136","ARMS-mediated activation",0,"Pathway"
"137","Arrhythmogenic Right Ventricular Cardiomyopathy",0,"Pathway"
"138","Aryl Hydrocarbon Receptor",0,"Pathway"
"139","Aryl Hydrocarbon Receptor Pathway",0,"Pathway"
"140","Arylamine metabolism",0,"Pathway"
"141","Asparagine N-linked glycosylation",0,"Pathway"
"142","Assembly of collagen fibrils and other multimeric structures",0,"Pathway"
"143","Assembly Of The HIV Virion",0,"Pathway"
"144","Assembly of the pre-replicative complex",0,"Pathway"
"145","Assembly of the RAD51-ssDNA nucleoprotein complex",0,"Pathway"
"146","Association of licensing factors with the pre-replicative complex",0,"Pathway"
"147","Association of TriC/CCT with target proteins during biosynthesis",0,"Pathway"
"148","Astrocytic Glutamate-Glutamine Uptake And Metabolism",0,"Pathway"
"149","ASUN",0,"Gene"
"150","Asymmetric localization of PCP proteins",0,"Pathway"
"151","ATF-2 transcription factor network",0,"Pathway"
"152","ATF6-alpha activates chaperones",0,"Pathway"
"153","ATG3",0.111111111111111,"Gene"
"154","ATM Signaling Pathway",0,"Pathway"
"155","ATP1B1",2.89268461007591,"Gene"
"156","ATP6V0B",2.96785714285714,"Gene"
"157","ATP6V1D",2.96785714285714,"Gene"
"158","ATR signaling pathway",0,"Pathway"
"159","ATRN",0,"Gene"
"160","Attenuation phase",0,"Pathway"
"161","Atypical NF-kappaB pathway",0,"Pathway"
"162","AUF1 (hnRNP D0) destabilizes mRNA",0,"Pathway"
"163","AURKB",3.66295098270905,"Gene"
"164","Aurora A signaling",0,"Pathway"
"165","Aurora B signaling",0,"Pathway"
"166","Aurora C signaling",0,"Pathway"
"167","Autodegradation of Cdh1 by Cdh1:APC/C",0,"Pathway"
"168","Autodegradation of the E3 ubiquitin ligase COP1",0,"Pathway"
"169","Autointegration results in viral DNA circles",0,"Pathway"
"170","Axon guidance",0,"Pathway"
"171","B Cell Activation",0,"Pathway"
"172","B Cell Receptor Signaling Pathway",0,"Pathway"
"173","B3GALNT1",1,"Gene"
"174","BABAM1",0,"Gene"
"175","BAG3",0.125,"Gene"
"176","BANF1",9.13303645279452,"Gene"
"177","BARD1 signaling events",0,"Pathway"
"178","Base-Excision Repair, AP Site Formation",0,"Pathway"
"179","Base-free sugar-phosphate removal via the single-nucleotide replacement pathway",0,"Pathway"
"180","Base Excision Repair",0,"Pathway"
"181","Basigin interactions",0,"Pathway"
"182","BAX",6.55281385281385,"Gene"
"183","BCAP31",0.365079365079365,"Gene"
"184","BCL2",11.8225143136433,"Gene"
"185","BCR signaling pathway",0,"Pathway"
"186","BCS1L",0.295454545454545,"Gene"
"187","BDNF signaling pathway",0,"Pathway"
"188","Benzo(a)pyrene metabolism",0,"Pathway"
"189","beta-catenin independent WNT signaling",0,"Pathway"
"190","Beta-catenin phosphorylation cascade",0,"Pathway"
"191","Beta1 integrin cell surface interactions",0,"Pathway"
"192","Beta2 integrin cell surface interactions",0,"Pathway"
"193","Beta3 integrin cell surface interactions",0,"Pathway"
"194","Beta5 beta6 beta7 and beta8 integrin cell surface interactions",0,"Pathway"
"195","BFAR",0,"Gene"
"196","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members",0,"Pathway"
"197","Bile acid and bile salt metabolism",0,"Pathway"
"198","Binding and Uptake of Ligands by Scavenger Receptors",0,"Pathway"
"199","binding of TCF/LEF:CTNNB1 to target gene promoters",0,"Pathway"
"200","Biological oxidations",0,"Pathway"
"201","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",0,"Pathway"
"202","BIRC5",2.42247479223286,"Gene"
"203","Bladder Cancer",0,"Pathway"
"204","BMAL1:CLOCK,NPAS2 activates circadian gene expression",0,"Pathway"
"205","BMI1",0.5625,"Gene"
"206","BMP receptor signaling",0,"Pathway"
"207","Branched-chain amino acid catabolism",0,"Pathway"
"208","BTK",3.5394154680445,"Gene"
"209","Budding and maturation of HIV virion",0,"Pathway"
"210","Bupropion",0,"Compound"
"211","C-MYB transcription factor network",0,"Pathway"
"212","C-MYC pathway",0,"Pathway"
"213","C14orf1",0,"Gene"
"214","C1QBP",0.743478260869565,"Gene"
"215","C2CD2",0,"Gene"
"216","C2CD5",0.7,"Gene"
"217","Calcineurin-regulated NFAT-dependent transcription in lymphocytes",0,"Pathway"
"218","Calcitonin-like ligand receptors",0,"Pathway"
"219","Calcium Regulation in the Cardiac Cell",0,"Pathway"
"220","Calcium signaling in the CD4+ TCR pathway",0,"Pathway"
"221","Calnexin/calreticulin cycle",0,"Pathway"
"222","CAMSAP1",0,"Gene"
"223","Canonical NF-kappaB pathway",0,"Pathway"
"224","Canonical Wnt signaling pathway",0,"Pathway"
"225","CANT1",0,"Gene"
"226","Cap-dependent Translation Initiation",0,"Pathway"
"227","CAPN3",0.111111111111111,"Gene"
"228","CAPN7",0.111111111111111,"Gene"
"229","Carbohydrate metabolism",0,"Pathway"
"230","Cardiac Hypertrophic Response",0,"Pathway"
"231","Cardiac Progenitor Differentiation",0,"Pathway"
"232","CASP2",4.65130568356375,"Gene"
"233","Caspase Cascade in Apoptosis",0,"Pathway"
"234","CAST",0,"Gene"
"235","CCNA2",25.4166666666667,"Gene"
"236","CCP110",0.882258064516129,"Gene"
"237","CCT2",1.77878787878788,"Gene"
"238","CCT3",1.77878787878788,"Gene"
"239","CCT5",1.77878787878788,"Gene"
"240","CD28 co-stimulation",0,"Pathway"
"241","CD28 dependent PI3K/Akt signaling",0,"Pathway"
"242","CD28 dependent Vav1 pathway",0,"Pathway"
"243","CD2BP2",0.503968253968254,"Gene"
"244","CD40/CD40L signaling",0,"Pathway"
"245","CD44",3.41717139569173,"Gene"
"246","CDC14B",0.342857142857143,"Gene"
"247","CDC20",24.6583840442711,"Gene"
"248","Cdc20:Phospho-APC/C mediated degradation of Cyclin A",0,"Pathway"
"249","CDC25B",4.255273937532,"Gene"
"250","CDC42 signaling events",0,"Pathway"
"251","CDC6 association with the ORC:origin complex",0,"Pathway"
"252","CDH1",11.7447004608295,"Gene"
"253","CDK-mediated phosphorylation and removal of Cdc6",0,"Pathway"
"254","CDK7",15.8943820516401,"Gene"
"255","CDT1 association with the CDC6:ORC:origin complex",0,"Pathway"
"256","CEBPB",34.0743975468975,"Gene"
"257","Cell-Cell communication",0,"Pathway"
"258","Cell-cell junction organization",0,"Pathway"
"259","Cell-extracellular matrix interactions",0,"Pathway"
"260","Cell Cycle",0,"Pathway"
"261","Cell Cycle",0,"Pathway"
"262","Cell Cycle",0,"Pathway"
"263","Cell Cycle",0,"Pathway"
"264","Cell Cycle Checkpoints",0,"Pathway"
"265","Cell Cycle, Mitotic",0,"Pathway"
"266","Cell death signalling via NRAGE, NRIF and NADE",0,"Pathway"
"267","Cell Differentiation - Index",0,"Pathway"
"268","cell division",0,"BiologicalProcess"
"269","cell division",0,"Pathway"
"270","Cell junction organization",0,"Pathway"
"271","Cell surface interactions at the vascular wall",0,"Pathway"
"272","Cellular response to heat stress",0,"Pathway"
"273","Cellular response to hypoxia",0,"Pathway"
"274","Cellular responses to stress",0,"Pathway"
"275","Cellular Senescence",0,"Pathway"
"276","Centrosome maturation",0,"Pathway"
"277","CEP192",1.13225806451613,"Gene"
"278","CEP76",0.882258064516129,"Gene"
"279","Ceramide signaling pathway",0,"Pathway"
"280","CERK",2.2752380952381,"Gene"
"281","Chaperonin-mediated protein folding",0,"Pathway"
"282","Chemokine receptors bind chemokines",0,"Pathway"
"283","CHL1 interactions",0,"Pathway"
"284","CHMP1A",0,"Gene"
"285","Cholesterol biosynthesis",0,"Pathway"
"286","Cholesterol Biosynthesis",0,"Pathway"
"287","Chondroitin sulfate/dermatan sulfate metabolism",0,"Pathway"
"288","CHRFAM7A",0,"Gene"
"289","CHRM1",2.46944444444444,"Gene"
"290","CHRM2",1.83055555555556,"Gene"
"291","CHRM3",4.58055555555555,"Gene"
"292","CHRM4",1.33055555555556,"Gene"
"293","CHRM5",1.30277777777778,"Gene"
"294","CHRNA3",14.1595238095238,"Gene"
"295","CHRNA4",4.41709956709957,"Gene"
"296","CHRNA6",3.32619047619048,"Gene"
"297","CHRNA7",2.16709956709957,"Gene"
"298","CHRNB2",2.02821067821068,"Gene"
"299","CHRNB4",2.66666666666667,"Gene"
"300","Chromatin modifying enzymes",0,"Pathway"
"301","Chromosome Maintenance",0,"Pathway"
"302","Chylomicron-mediated lipid transport",0,"Pathway"
"303","Circadian Clock",0,"Pathway"
"304","Circadian rhythm pathway",0,"Pathway"
"305","Circadian rythm related genes",0,"Pathway"
"306","Citric acid cycle (TCA cycle)",0,"Pathway"
"307","Class A/1 (Rhodopsin-like receptors)",0,"Pathway"
"308","Class B/2 (Secretin family receptors)",0,"Pathway"
"309","Class I MHC mediated antigen processing & presentation",0,"Pathway"
"310","Class I PI3K signaling events",0,"Pathway"
"311","Class I PI3K signaling events mediated by Akt",0,"Pathway"
"312","Clathrin derived vesicle budding",0,"Pathway"
"313","Clearance of dopamine",0,"Pathway"
"314","Clearance of Nuclear Envelope Membranes from Chromatin",0,"Pathway"
"315","Cleavage of Growing Transcript in the Termination Region",0,"Pathway"
"316","Cleavage of the damaged purine",0,"Pathway"
"317","Clonidine",0,"Compound"
"318","CNOT2",2.2020202020202,"Gene"
"319","Codeine and Morphine Metabolism",0,"Pathway"
"320","COG7",0,"Gene"
"321","COL11A1",8,"Gene"
"322","COL9A3",3.56419498591225,"Gene"
"323","COLGALT1",0.566666666666667,"Gene"
"324","Collagen biosynthesis and modifying enzymes",0,"Pathway"
"325","Collagen degradation",0,"Pathway"
"326","Collagen formation",0,"Pathway"
"327","Common Pathway",0,"Pathway"
"328","Complement and Coagulation Cascades",0,"Pathway"
"329","Complement cascade",0,"Pathway"
"330","Composition of Lipid Particles",0,"Pathway"
"331","Condensation of Prometaphase Chromosomes",0,"Pathway"
"332","Condensation of Prophase Chromosomes",0,"Pathway"
"333","Constitutive Androstane Receptor Pathway",0,"Pathway"
"334","Constitutive PI3K/AKT Signaling in Cancer",0,"Pathway"
"335","Constitutive Signaling by NOTCH1 HD Domain Mutants",0,"Pathway"
"336","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",0,"Pathway"
"337","Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",0,"Pathway"
"338","Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase",0,"Pathway"
"339","Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding",0,"Pathway"
"340","Copper homeostasis",0,"Pathway"
"341","COPS3",0,"Gene"
"342","Coregulation of Androgen receptor activity",0,"Pathway"
"343","Cori Cycle",0,"Pathway"
"344","Corticotropin-releasing hormone",0,"Pathway"
"345","Costimulation by the CD28 family",0,"Pathway"
"346","COX4I1",0.558683816183816,"Gene"
"347","COX7B",0.558683816183816,"Gene"
"348","COX8A",1.55868381618382,"Gene"
"349","CRK",15.5555454051948,"Gene"
"350","CRMPs in Sema3A signaling",0,"Pathway"
"351","Cross-presentation of soluble exogenous antigens (endosomes)",0,"Pathway"
"352","Crosslinking of collagen fibrils",0,"Pathway"
"353","CRYZ",0,"Gene"
"354","CTLA4 inhibitory signaling",0,"Pathway"
"355","CTSD",3.60325024437928,"Gene"
"356","CTSL",3.70184331797235,"Gene"
"357","CXCR3-mediated signaling events",0,"Pathway"
"358","CXCR4-mediated signaling events",0,"Pathway"
"359","Cyclin A/B1 associated events during G2/M transition",0,"Pathway"
"360","Cyclin A:Cdk2-associated events at S phase entry",0,"Pathway"
"361","Cyclin B2 mediated events",0,"Pathway"
"362","Cyclin D associated events in G1",0,"Pathway"
"363","Cyclin E associated events during G1/S transition",0,"Pathway"
"364","CYCS",7.42346764346764,"Gene"
"365","CYP1A1",9.07424242424242,"Gene"
"366","CYP1A2",35.1466325341325,"Gene"
"367","CYP2A6",4.28035714285714,"Gene"
"368","CYP2B6",3.44702380952381,"Gene"
"369","CYP2C19",3.69917582417582,"Gene"
"370","CYP2C8",3.47321428571429,"Gene"
"371","CYP2C9",7.03905677655678,"Gene"
"372","CYP2D6",13.4915043290043,"Gene"
"373","CYP2E1",8.8672619047619,"Gene"
"374","CYP2E1 reactions",0,"Pathway"
"375","CYP3A4",27.358170995671,"Gene"
"376","CYP3A5",4.48495670995671,"Gene"
"377","CYP51A1",2.03232600732601,"Gene"
"378","CYTH1",0.166666666666667,"Gene"
"379","Cytisine",0,"Compound"
"380","Cytochrome P450 - arranged by substrate type",0,"Pathway"
"381","Cytokine Signaling in Immune system",0,"Pathway"
"382","Cytokines and Inflammatory Response",0,"Pathway"
"383","Cytoplasmic Ribosomal Proteins",0,"Pathway"
"384","Cytosolic iron-sulfur cluster assembly",0,"Pathway"
"385","Cytosolic sensors of pathogen-associated DNA",0,"Pathway"
"386","DAD1",0.462121212121212,"Gene"
"387","DAP12 interactions",0,"Pathway"
"388","DAP12 signaling",0,"Pathway"
"389","DBP",0.561111111111111,"Gene"
"390","DCC mediated attractive signaling",0,"Pathway"
"391","DCTPP1",0,"Gene"
"392","DDIT4",2.375,"Gene"
"393","DDX47",0,"Gene"
"394","deactivation of the beta-catenin transactivating complex",0,"Pathway"
"395","Deadenylation-dependent mRNA decay",0,"Pathway"
"396","Deadenylation of mRNA",0,"Pathway"
"397","DECR2",0,"Gene"
"398","Defective AMN causes hereditary megaloblastic anemia 1",0,"Pathway"
"399","Defective B3GAT3 causes JDSSDHD",0,"Pathway"
"400","degradation of AXIN",0,"Pathway"
"401","degradation of DVL",0,"Pathway"
"402","Degradation of GLI1 by the proteasome",0,"Pathway"
"403","Degradation of GLI2 by the proteasome",0,"Pathway"
"404","Degradation of the extracellular matrix",0,"Pathway"
"405","DENND3",0,"Gene"
"406","Deposition of new CENPA-containing nucleosomes at the centromere",0,"Pathway"
"407","Detoxification of Reactive Oxygen Species",0,"Pathway"
"408","Developmental Biology",0,"Pathway"
"409","DEx/H-box helicases activate type I IFN and inflammatory cytokines production",0,"Pathway"
"410","DHCR7",1.35818070818071,"Gene"
"411","DHX29",0,"Gene"
"412","Diclofenac Metabolic Pathway",0,"Pathway"
"413","Differentiation of white and brown adipocyte   ",0,"Pathway"
"414","Differentiation Pathway",0,"Pathway"
"415","DIRAS3",0,"Gene"
"416","Direct p53 effectors",0,"Pathway"
"417","disassembly of the destruction complex and recruitment of AXIN to the membrane",0,"Pathway"
"418","Disease",0,"Pathway"
"419","Diseases associated with visual transduction",0,"Pathway"
"420","Displacement of DNA glycosylase by APE1",0,"Pathway"
"421","Diurnally Regulated Genes with Circadian Orthologs",0,"Pathway"
"422","DLD",17.4236111111111,"Gene"
"423","DNA-PK pathway in nonhomologous end joining",0,"Pathway"
"424","DNA Damage Response",0,"Pathway"
"425","DNA Damage Response (only ATM dependent)",0,"Pathway"
"426","DNA Damage/Telomere Stress Induced Senescence",0,"Pathway"
"427","DNA methylation",0,"Pathway"
"428","DNA Repair",0,"Pathway"
"429","DNA Replication",0,"Pathway"
"430","DNA Replication",0,"Pathway"
"431","DNA Replication",0,"Pathway"
"432","DNA Replication",0,"Pathway"
"433","DNA Replication Pre-Initiation",0,"Pathway"
"434","DNA strand elongation",0,"Pathway"
"435","DNAJA3",0.5,"Gene"
"436","DNAJB6",0,"Gene"
"437","DNM1L",0.398412698412698,"Gene"
"438","DNTTIP2",0,"Gene"
"439","DOCK9",0.876811594202898,"Gene"
"440","Dopamine metabolism",0,"Pathway"
"441","Dopamine Neurotransmitter Release Cycle",0,"Pathway"
"442","Dopamine receptors",0,"Pathway"
"443","Dopaminergic Neurogenesis",0,"Pathway"
"444","Double-Strand Break Repair",0,"Pathway"
"445","Downregulation of ERBB2:ERBB3 signaling",0,"Pathway"
"446","Downregulation of ERBB4 signaling",0,"Pathway"
"447","Downregulation of SMAD2/3:SMAD4 transcriptional activity",0,"Pathway"
"448","Downregulation of TGF-beta receptor signaling",0,"Pathway"
"449","Downstream signal transduction",0,"Pathway"
"450","Downstream signaling events of B Cell Receptor (BCR)",0,"Pathway"
"451","Downstream signaling in naïve CD8+ T cells",0,"Pathway"
"452","Downstream signaling of activated FGFR",0,"Pathway"
"453","Downstream TCR signaling",0,"Pathway"
"454","DPH2",0,"Gene"
"455","DPYSL2",1.57501400560224,"Gene"
"456","DRAP1",1.55612903225806,"Gene"
"457","DRD2",3.97222222222222,"Gene"
"458","Drug Induction of Bile Acid Pathway",0,"Pathway"
"459","DSCAM interactions",0,"Pathway"
"460","DSG2",1.1984126984127,"Gene"
"461","Dual hijack model of Vif in HIV infection",0,"Pathway"
"462","Dual incision reaction in GG-NER",0,"Pathway"
