Disease,Disease_ID,Relation,Gene,Gene_ID
bile duct cancer,DOID:4606,ASSOCIATES_DaG,ERBB2,2064
bile duct cancer,DOID:4606,ASSOCIATES_DaG,PPFIBP2,8495
bile duct cancer,DOID:4606,ASSOCIATES_DaG,PTGS2,5743
bile duct cancer,DOID:4606,ASSOCIATES_DaG,SOX17,64321
bile duct cancer,DOID:4606,ASSOCIATES_DaG,PTPRE,5791
bile duct cancer,DOID:4606,ASSOCIATES_DaG,NRAS,4893
bile duct cancer,DOID:4606,ASSOCIATES_DaG,KRAS,3845
bile duct cancer,DOID:4606,ASSOCIATES_DaG,SLC5A5,6528
bile duct cancer,DOID:4606,ASSOCIATES_DaG,KRT20,54474
bile duct cancer,DOID:4606,ASSOCIATES_DaG,ARID1A,8289
bile duct cancer,DOID:4606,ASSOCIATES_DaG,SCRT1,83482
bile duct cancer,DOID:4606,ASSOCIATES_DaG,MSLN,10232
bile duct cancer,DOID:4606,ASSOCIATES_DaG,IDH2,3418
bile duct cancer,DOID:4606,ASSOCIATES_DaG,BAP1,8314
bile duct cancer,DOID:4606,ASSOCIATES_DaG,MUC4,4585
bile duct cancer,DOID:4606,ASSOCIATES_DaG,SMAD4,4089
bile duct cancer,DOID:4606,ASSOCIATES_DaG,NOS2,4843
bile duct cancer,DOID:4606,ASSOCIATES_DaG,KRT7,3855
bile duct cancer,DOID:4606,ASSOCIATES_DaG,KRT19,3880
bile duct cancer,DOID:4606,ASSOCIATES_DaG,MBD2,8932
bile duct cancer,DOID:4606,ASSOCIATES_DaG,TP53,7157
bile duct cancer,DOID:4606,ASSOCIATES_DaG,IL6,3569
bile duct cancer,DOID:4606,ASSOCIATES_DaG,PEG3,5178
bile duct cancer,DOID:4606,ASSOCIATES_DaG,RNF43,54894
bile duct cancer,DOID:4606,ASSOCIATES_DaG,MMP2,4313
bile duct cancer,DOID:4606,ASSOCIATES_DaG,MUC2,4583
bile duct cancer,DOID:4606,ASSOCIATES_DaG,MUC1,4582
bile duct cancer,DOID:4606,ASSOCIATES_DaG,PBRM1,55193
bile duct cancer,DOID:4606,ASSOCIATES_DaG,TGFB1,7040
bile duct cancer,DOID:4606,ASSOCIATES_DaG,TCFL5,10732
bile duct cancer,DOID:4606,ASSOCIATES_DaG,MET,4233
bile duct cancer,DOID:4606,ASSOCIATES_DaG,HRAS,3265
bile duct cancer,DOID:4606,ASSOCIATES_DaG,MMP9,4318
bile duct cancer,DOID:4606,ASSOCIATES_DaG,IDH1,3417
bile duct cancer,DOID:4606,ASSOCIATES_DaG,GNAS,2778
bile duct cancer,DOID:4606,ASSOCIATES_DaG,KMT2C,58508
bile duct cancer,DOID:4606,ASSOCIATES_DaG,TGFBR2,7048
bile duct cancer,DOID:4606,ASSOCIATES_DaG,HGF,3082
bile duct cancer,DOID:4606,ASSOCIATES_DaG,TNC,3371
bile duct cancer,DOID:4606,ASSOCIATES_DaG,ROBO2,6092
bile duct cancer,DOID:4606,ASSOCIATES_DaG,EGFR,1956
bile duct cancer,DOID:4606,ASSOCIATES_DaG,FAR2,55711